date,type,value
1981-09-01,lf,6896656.4173
1981-09-01,nilf,4287576.7303
1981-09-01,pop_15yr_over,11184233.1476
1981-10-01,emp,6445335.3656
1981-10-01,uemp,373978.9126
1981-10-01,lf,6819314.2782000005
1981-10-01,nilf,4385289.7502
1981-10-01,pop_15yr_over,11204604.028399998
1981-11-01,emp,6433343.3932
1981-11-01,uemp,375018.58770000003
1981-11-01,lf,6808361.9809
1981-11-01,nilf,4416562.9583
1981-11-01,pop_15yr_over,11224924.9392
1981-12-01,emp,6506864.9371
1981-12-01,uemp,437561.48130000004
1981-12-01,lf,6944426.418400001
1981-12-01,nilf,4300847.581
1981-12-01,pop_15yr_over,11245273.999400001
1982-01-01,emp,6355498.6577
1982-01-01,uemp,443861.7791
1982-01-01,lf,6799360.436799999
1982-01-01,nilf,4466656.4432
1982-01-01,pop_15yr_over,11266016.879999999
1982-02-01,emp,6432352.2678
1982-02-01,uemp,488842.7456
1982-02-01,lf,6921195.0134
1982-02-01,nilf,4364943.9834
1982-02-01,pop_15yr_over,11286138.9968
1982-03-01,emp,6497360.9838000005
1982-03-01,uemp,463872.3655
1982-03-01,lf,6961233.3493
1982-03-01,nilf,4345563.679199999
1982-03-01,pop_15yr_over,11306797.0285
1982-04-01,emp,6431562.5043
1982-04-01,uemp,440031.1114
1982-04-01,lf,6871593.6157
1982-04-01,nilf,4454396.3652
1982-04-01,pop_15yr_over,11325989.9809
1982-05-01,emp,6440904.524499999
1982-05-01,uemp,453762.636
1982-05-01,lf,6894667.1605
1982-05-01,nilf,4449797.7762
1982-05-01,pop_15yr_over,11344464.9367
1982-06-01,emp,6414277.5552
1982-06-01,uemp,451628.23909999995
1982-06-01,lf,6865905.7943
1982-06-01,nilf,4497043.0689
1982-06-01,pop_15yr_over,11362948.8632
1982-07-01,emp,6425898.4225
1982-07-01,uemp,453385.81749999995
1982-07-01,lf,6879284.24
1982-07-01,nilf,4501230.8495
1982-07-01,pop_15yr_over,11380515.0895
1982-08-01,emp,6379347.4902
1982-08-01,uemp,461356.81570000004
1982-08-01,lf,6840704.3059
1982-08-01,nilf,4557382.4943
1982-08-01,pop_15yr_over,11398086.8002
1982-09-01,emp,6443517.3213
1982-09-01,uemp,509075.96869999997
1982-09-01,lf,6952593.29
1982-09-01,nilf,4463333.64
1982-09-01,pop_15yr_over,11415926.93
1982-10-01,emp,6421067.6214
1982-10-01,uemp,540624.4616
1982-10-01,lf,6961692.083
1982-10-01,nilf,4468682.021
1982-10-01,pop_15yr_over,11430374.104
1982-11-01,emp,6366813.634000001
1982-11-01,uemp,555183.8611
1982-11-01,lf,6921997.4951
1982-11-01,nilf,4522138.4418
1982-11-01,pop_15yr_over,11444135.936900001
1982-12-01,emp,6370100.2919000005
1982-12-01,uemp,677474.2334
1982-12-01,lf,7047574.5253
1982-12-01,nilf,4411477.3735
1982-12-01,pop_15yr_over,11459051.8988
1983-01-01,emp,6172047.917900001
1983-01-01,uemp,694586.9848999999
1983-01-01,lf,6866634.9028
1983-01-01,nilf,4612287.1173
1983-01-01,pop_15yr_over,11478922.020100001
1983-02-01,emp,6263947.4593
1983-02-01,uemp,750092.3573
1983-02-01,lf,7014039.8166000005
1983-02-01,nilf,4484034.173400001
1983-02-01,pop_15yr_over,11498073.99
1983-03-01,emp,6310302.7344
1983-03-01,uemp,733924.2453000001
1983-03-01,lf,7044226.9797
1983-03-01,nilf,4473609.1515
1983-03-01,pop_15yr_over,11517836.1312
1983-04-01,emp,6254490.4395
1983-04-01,uemp,709250.8309
1983-04-01,lf,6963741.2704
1983-04-01,nilf,4572304.679099999
1983-04-01,pop_15yr_over,11536045.9495
1983-05-01,emp,6272794.2097
1983-05-01,uemp,720540.3641
1983-05-01,lf,6993334.573799999
1983-05-01,nilf,4561076.5279
1983-05-01,pop_15yr_over,11554411.1017
1983-06-01,emp,6266462.055199999
1983-06-01,uemp,693220.7601
1983-06-01,lf,6959682.8153
1983-06-01,nilf,4612938.233
1983-06-01,pop_15yr_over,11572621.0483
1983-07-01,emp,6294960.9843999995
1983-07-01,uemp,687240.6494
1983-07-01,lf,6982201.6338
1983-07-01,nilf,4607171.272100001
1983-07-01,pop_15yr_over,11589372.9059
1983-08-01,emp,6241154.7261
1983-08-01,uemp,686826.3650999999
1983-08-01,lf,6927981.091200001
1983-08-01,nilf,4678245.9419
1983-08-01,pop_15yr_over,11606227.0331
1983-09-01,emp,6358173.992099999
1983-09-01,uemp,720847.0066
1983-09-01,lf,7079020.998699999
1983-09-01,nilf,4544151.8437
1983-09-01,pop_15yr_over,11623172.8424
1983-10-01,emp,6336131.4212
1983-10-01,uemp,653166.7522
1983-10-01,lf,6989298.173400001
1983-10-01,nilf,4648990.7368
1983-10-01,pop_15yr_over,11638288.910200002
1983-11-01,emp,6377522.2003
1983-11-01,uemp,624774.0183
1983-11-01,lf,7002296.2186
1983-11-01,nilf,4650875.6457
1983-11-01,pop_15yr_over,11653171.8643
1983-12-01,emp,6456455.6108
1983-12-01,uemp,689990.5516
1983-12-01,lf,7146446.1624
1983-12-01,nilf,4521661.6592
1983-12-01,pop_15yr_over,11668107.821600001
1984-01-01,emp,6251444.2636
1984-01-01,uemp,717806.2897
1984-01-01,lf,6969250.553300001
1984-01-01,nilf,4719389.6161
1984-01-01,pop_15yr_over,11688640.1694
1984-02-01,emp,6365363.6107
1984-02-01,uemp,736489.3878
1984-02-01,lf,7101852.9985
1984-02-01,nilf,4604086.9863
1984-02-01,pop_15yr_over,11705939.9848
1984-03-01,emp,6503228.5012
